year,city,country,avg_temp
1975,Arlington,United States,15.31
1976,Arlington,United States,14.65
1977,Arlington,United States,15.61
1978,Arlington,United States,14.69
1979,Arlington,United States,14.49
1980,Arlington,United States,15.5
1981,Arlington,United States,15.21
1982,Arlington,United States,15.16
1983,Arlington,United States,14.84
1984,Arlington,United States,15.45
1985,Arlington,United States,15.5
1986,Arlington,United States,15.74
1987,Arlington,United States,15.53
1988,Arlington,United States,15.16
1989,Arlington,United States,14.7
1990,Arlington,United States,16.36
1991,Arlington,United States,16.12
1992,Arlington,United States,15.07
1993,Arlington,United States,15.1
1994,Arlington,United States,15.38
1995,Arlington,United States,15.5
1996,Arlington,United States,15.14
1997,Arlington,United States,15.1
1998,Arlington,United States,16.96
1999,Arlington,United States,16.4
2000,Arlington,United States,15.59
2001,Arlington,United States,15.77
2002,Arlington,United States,15.83
2003,Arlington,United States,15.31
2004,Arlington,United States,15.69
2005,Arlington,United States,15.97
2006,Arlington,United States,16.72
2007,Arlington,United States,15.77
2008,Arlington,United States,15.64
2009,Arlington,United States,15.43
2010,Arlington,United States,15.98
2011,Arlington,United States,16.63
2012,Arlington,United States,16.99
2013,Arlington,United States,17.32
